"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_latice_cuadrada"
"04/06/2026 18:29:29:434 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"1","4","látice cuadrada","8","2","10","10","0","0","-4.917910195049446E-4"
"5","4","látice cuadrada","8","2","10","10","0","0","-0.0010213553624576627"
"3","4","látice cuadrada","8","2","10","10","0","0","-0.001978426216082768"
"4","4","látice cuadrada","8","2","10","10","0","0","-0.0011020943364177388"
"6","4","látice cuadrada","8","2","10","10","0","0","-6.603228507069958E-4"
"2","4","látice cuadrada","8","2","10","10","0","0","-0.0012962539558108999"
"3","4","látice cuadrada","8","2","10","10","0","5000","0.013957261861640452"
"4","4","látice cuadrada","8","2","10","10","0","5000","0.010490731612840823"
"1","4","látice cuadrada","8","2","10","10","0","5000","0.020779881366257358"
"5","4","látice cuadrada","8","2","10","10","0","5000","0.012997838018480645"
"2","4","látice cuadrada","8","2","10","10","0","5000","0.0119975394129372"
"6","4","látice cuadrada","8","2","10","10","0","5000","0.015151461553875742"
"3","4","látice cuadrada","8","2","10","10","0","10000","0.016194006582365347"
"4","4","látice cuadrada","8","2","10","10","0","10000","0.012087161097057472"
"2","4","látice cuadrada","8","2","10","10","0","10000","0.012184351682485065"
"1","4","látice cuadrada","8","2","10","10","0","10000","0.021631961689536613"
"6","4","látice cuadrada","8","2","10","10","0","10000","0.017452704829330798"
"5","4","látice cuadrada","8","2","10","10","0","10000","0.012757429443078186"
"3","4","látice cuadrada","8","2","10","10","0","15000","0.015097239500494256"
"4","4","látice cuadrada","8","2","10","10","0","15000","0.014233566213759846"
"2","4","látice cuadrada","8","2","10","10","0","15000","0.01246488764044544"
"1","4","látice cuadrada","8","2","10","10","0","15000","0.022241285894881627"
"6","4","látice cuadrada","8","2","10","10","0","15000","0.017452704829331006"
"5","4","látice cuadrada","8","2","10","10","0","15000","0.012861298182620787"
"3","4","látice cuadrada","8","2","10","10","0","20000","0.015260727839626023"
"7","4","látice cuadrada","8","2","10","10","0","0","-8.021702082819382E-5"
"4","4","látice cuadrada","8","2","10","10","0","20000","0.014619795312858827"
"8","4","látice cuadrada","8","2","10","10","0","0","-4.1594396905543507E-4"
"2","4","látice cuadrada","8","2","10","10","0","20000","0.013550648898174394"
"6","4","látice cuadrada","8","2","10","10","0","20000","0.01715070689918835"
"9","4","látice cuadrada","8","2","10","10","0","0","-0.0016898609702347273"
"1","4","látice cuadrada","8","2","10","10","0","20000","0.022733852943827362"
"10","4","látice cuadrada","8","2","10","10","0","0","0.001746417530125055"
"5","4","látice cuadrada","8","2","10","10","0","20000","0.013583186552335577"
"11","4","látice cuadrada","8","2","10","10","0.2","0","-3.595597655109417E-5"
"12","4","látice cuadrada","8","2","10","10","0.2","0","-2.418525147517142E-4"
"7","4","látice cuadrada","8","2","10","10","0","5000","0.017414926760454447"
"8","4","látice cuadrada","8","2","10","10","0","5000","0.018488599619724974"
"9","4","látice cuadrada","8","2","10","10","0","5000","0.008315776321512633"
"10","4","látice cuadrada","8","2","10","10","0","5000","0.018656376770166128"
"11","4","látice cuadrada","8","2","10","10","0.2","5000","0.030045941102039467"
"7","4","látice cuadrada","8","2","10","10","0","10000","0.01820910499718953"
"12","4","látice cuadrada","8","2","10","10","0.2","5000","0.03852146717432994"
"8","4","látice cuadrada","8","2","10","10","0","10000","0.01859037849215993"
"9","4","látice cuadrada","8","2","10","10","0","10000","0.00901705904348625"
"10","4","látice cuadrada","8","2","10","10","0","10000","0.018560936958924676"
"7","4","látice cuadrada","8","2","10","10","0","15000","0.019061377459627396"
"11","4","látice cuadrada","8","2","10","10","0.2","10000","0.04121293081688404"
"8","4","látice cuadrada","8","2","10","10","0","15000","0.020120942228931626"
"12","4","látice cuadrada","8","2","10","10","0.2","10000","0.05550333237412024"
"9","4","látice cuadrada","8","2","10","10","0","15000","0.009979809152953503"
"10","4","látice cuadrada","8","2","10","10","0","15000","0.019584798524234448"
"7","4","látice cuadrada","8","2","10","10","0","20000","0.019187412261839815"
"13","4","látice cuadrada","8","2","10","10","0.2","0","-6.950623633208419E-4"
"11","4","látice cuadrada","8","2","10","10","0.2","15000","0.056274278221477764"
"8","4","látice cuadrada","8","2","10","10","0","20000","0.020118693215717187"
"12","4","látice cuadrada","8","2","10","10","0.2","15000","0.061278721899417146"
"14","4","látice cuadrada","8","2","10","10","0.2","0","4.342942929395216E-4"
"9","4","látice cuadrada","8","2","10","10","0","20000","0.010282082278607357"
"15","4","látice cuadrada","8","2","10","10","0.2","0","-0.0014126563322353763"
"10","4","látice cuadrada","8","2","10","10","0","20000","0.01930759475147041"
"16","4","látice cuadrada","8","2","10","10","0.2","0","-0.0012010332287884229"
"13","4","látice cuadrada","8","2","10","10","0.2","5000","0.01787388740587774"
"11","4","látice cuadrada","8","2","10","10","0.2","20000","0.05906908151133684"
"17","4","látice cuadrada","8","2","10","10","0.2","0","-5.696589892021375E-4"
"12","4","látice cuadrada","8","2","10","10","0.2","20000","0.0657702556441451"
"14","4","látice cuadrada","8","2","10","10","0.2","5000","0.03272939430195891"
"18","4","látice cuadrada","8","2","10","10","0.2","0","-5.37027993510561E-4"
"15","4","látice cuadrada","8","2","10","10","0.2","5000","0.024575984275441887"
"16","4","látice cuadrada","8","2","10","10","0.2","5000","0.03235635387909079"
"13","4","látice cuadrada","8","2","10","10","0.2","10000","0.028365152187174766"
"17","4","látice cuadrada","8","2","10","10","0.2","5000","0.026029366979295587"
"14","4","látice cuadrada","8","2","10","10","0.2","10000","0.055909816913480015"
"18","4","látice cuadrada","8","2","10","10","0.2","5000","0.03104743300933402"
"15","4","látice cuadrada","8","2","10","10","0.2","10000","0.030975104077868437"
"16","4","látice cuadrada","8","2","10","10","0.2","10000","0.0439709449376683"
"13","4","látice cuadrada","8","2","10","10","0.2","15000","0.04126115315226121"
"14","4","látice cuadrada","8","2","10","10","0.2","15000","0.06750158027811486"
"17","4","látice cuadrada","8","2","10","10","0.2","10000","0.04025385727038175"
"18","4","látice cuadrada","8","2","10","10","0.2","10000","0.0434076781297678"
"15","4","látice cuadrada","8","2","10","10","0.2","15000","0.03695308235819471"
"13","4","látice cuadrada","8","2","10","10","0.2","20000","0.053724270765009643"
"16","4","látice cuadrada","8","2","10","10","0.2","15000","0.049680299428934815"
"19","4","látice cuadrada","8","2","10","10","0.2","0","-1.839376188086106E-4"
"14","4","látice cuadrada","8","2","10","10","0.2","20000","0.0723397005372882"
"17","4","látice cuadrada","8","2","10","10","0.2","15000","0.0443572206201414"
"20","4","látice cuadrada","8","2","10","10","0.2","0","-8.882367436551103E-4"
"15","4","látice cuadrada","8","2","10","10","0.2","20000","0.04552529196113542"
"18","4","látice cuadrada","8","2","10","10","0.2","15000","0.0374643582917171"
"21","4","látice cuadrada","8","2","10","10","0.4","0","5.714285714277512E-4"
"16","4","látice cuadrada","8","2","10","10","0.2","20000","0.06640090208223727"
"19","4","látice cuadrada","8","2","10","10","0.2","5000","0.03108260038335578"
"22","4","látice cuadrada","8","2","10","10","0.4","0","3.0846056793290555E-4"
"20","4","látice cuadrada","8","2","10","10","0.2","5000","0.028905437902270792"
"17","4","látice cuadrada","8","2","10","10","0.2","20000","0.054594744257195335"
"18","4","látice cuadrada","8","2","10","10","0.2","20000","0.04061365175884246"
"23","4","látice cuadrada","8","2","10","10","0.4","0","0.0028318526260757704"
"21","4","látice cuadrada","8","2","10","10","0.4","5000","0.037706349206340944"
"24","4","látice cuadrada","8","2","10","10","0.4","0","0.001246464859917043"
"19","4","látice cuadrada","8","2","10","10","0.2","10000","0.0407360770118365"
"22","4","látice cuadrada","8","2","10","10","0.4","5000","0.03821031192090574"
"20","4","látice cuadrada","8","2","10","10","0.2","10000","0.039259118602012505"
"23","4","látice cuadrada","8","2","10","10","0.4","5000","0.04496976889352698"
"19","4","látice cuadrada","8","2","10","10","0.2","15000","0.0448522410502219"
"21","4","látice cuadrada","8","2","10","10","0.4","10000","0.051976190476184236"
"24","4","látice cuadrada","8","2","10","10","0.4","5000","0.036218867262876445"
"22","4","látice cuadrada","8","2","10","10","0.4","10000","0.0539098278353201"
"20","4","látice cuadrada","8","2","10","10","0.2","15000","0.04289079867838247"
"21","4","látice cuadrada","8","2","10","10","0.4","15000","0.07200793650793055"
"19","4","látice cuadrada","8","2","10","10","0.2","20000","0.04747086057588994"
"23","4","látice cuadrada","8","2","10","10","0.4","10000","0.06061001146822122"
"24","4","látice cuadrada","8","2","10","10","0.4","10000","0.05525497371475911"
"25","4","látice cuadrada","8","2","10","10","0.4","0","-0.001890582326748394"
"22","4","látice cuadrada","8","2","10","10","0.4","15000","0.057294549343257395"
"20","4","látice cuadrada","8","2","10","10","0.2","20000","0.05398745632724282"
"26","4","látice cuadrada","8","2","10","10","0.4","0","0.0013990276824640407"
"21","4","látice cuadrada","8","2","10","10","0.4","20000","0.08123015873015568"
"27","4","látice cuadrada","8","2","10","10","0.4","0","-7.692510032109995E-4"
"22","4","látice cuadrada","8","2","10","10","0.4","20000","0.07070268600832628"
"25","4","látice cuadrada","8","2","10","10","0.4","5000","0.03187440985912399"
"24","4","látice cuadrada","8","2","10","10","0.4","15000","0.05863135110305687"
"23","4","látice cuadrada","8","2","10","10","0.4","15000","0.0754576401591066"
"28","4","látice cuadrada","8","2","10","10","0.4","0","-2.2727174807413153E-4"
"26","4","látice cuadrada","8","2","10","10","0.4","5000","0.042299922930807074"
"27","4","látice cuadrada","8","2","10","10","0.4","5000","0.04136820917644078"
"25","4","látice cuadrada","8","2","10","10","0.4","10000","0.04478095512797074"
"24","4","látice cuadrada","8","2","10","10","0.4","20000","0.0644814313531517"
"28","4","látice cuadrada","8","2","10","10","0.4","5000","0.035058693821808"
"29","4","látice cuadrada","8","2","10","10","0.4","0","-6.767628942095927E-4"
"23","4","látice cuadrada","8","2","10","10","0.4","20000","0.08685364224952959"
"30","4","látice cuadrada","8","2","10","10","0.4","0","-7.535648311309401E-4"
"26","4","látice cuadrada","8","2","10","10","0.4","10000","0.06113682002601464"
"27","4","látice cuadrada","8","2","10","10","0.4","10000","0.0637195626169868"
"25","4","látice cuadrada","8","2","10","10","0.4","15000","0.05059576450056723"
"28","4","látice cuadrada","8","2","10","10","0.4","10000","0.056307644199352275"
"29","4","látice cuadrada","8","2","10","10","0.4","5000","0.04180553401342224"
"30","4","látice cuadrada","8","2","10","10","0.4","5000","0.044091523511200034"
"26","4","látice cuadrada","8","2","10","10","0.4","15000","0.06765522503645847"
"27","4","látice cuadrada","8","2","10","10","0.4","15000","0.09185233450567526"
"25","4","látice cuadrada","8","2","10","10","0.4","20000","0.06027489113289873"
"31","4","látice cuadrada","8","2","10","10","0.6","0","-0.001286956964740335"
"28","4","látice cuadrada","8","2","10","10","0.4","15000","0.06538792435870468"
"29","4","látice cuadrada","8","2","10","10","0.4","10000","0.052720090232019595"
"30","4","látice cuadrada","8","2","10","10","0.4","10000","0.05697165953832317"
"26","4","látice cuadrada","8","2","10","10","0.4","20000","0.06507843887621712"
"27","4","látice cuadrada","8","2","10","10","0.4","20000","0.11629341108620833"
"32","4","látice cuadrada","8","2","10","10","0.6","0","-0.0012643497157598521"
"33","4","látice cuadrada","8","2","10","10","0.6","0","-2.9365079365061E-4"
"31","4","látice cuadrada","8","2","10","10","0.6","5000","0.04429405898167507"
"28","4","látice cuadrada","8","2","10","10","0.4","20000","0.07985662548451455"
"34","4","látice cuadrada","8","2","10","10","0.6","0","-6.308214760929881E-4"
"29","4","látice cuadrada","8","2","10","10","0.4","15000","0.07548004927024937"
"30","4","látice cuadrada","8","2","10","10","0.4","15000","0.05799731035818316"
"33","4","látice cuadrada","8","2","10","10","0.6","5000","0.037158730158725436"
"32","4","látice cuadrada","8","2","10","10","0.6","5000","0.044230004881652005"
"31","4","látice cuadrada","8","2","10","10","0.6","10000","0.11016352323655565"
"34","4","látice cuadrada","8","2","10","10","0.6","5000","0.05800802455529315"
"29","4","látice cuadrada","8","2","10","10","0.4","20000","0.08562752439703958"
"35","4","látice cuadrada","8","2","10","10","0.6","0","6.712526451471967E-4"
"33","4","látice cuadrada","8","2","10","10","0.6","10000","0.09052380952382477"
"30","4","látice cuadrada","8","2","10","10","0.4","20000","0.0623810324568283"
"32","4","látice cuadrada","8","2","10","10","0.6","10000","0.09222172180843047"
"36","4","látice cuadrada","8","2","10","10","0.6","0","-0.0014311857801133782"
"31","4","látice cuadrada","8","2","10","10","0.6","15000","0.1786269796724117"
"34","4","látice cuadrada","8","2","10","10","0.6","10000","0.13515967477287238"
"35","4","látice cuadrada","8","2","10","10","0.6","5000","0.05284369668322869"
"33","4","látice cuadrada","8","2","10","10","0.6","15000","0.1364523809524052"
"32","4","látice cuadrada","8","2","10","10","0.6","15000","0.12307279971027353"
"31","4","látice cuadrada","8","2","10","10","0.6","20000","0.22103681102644018"
"34","4","látice cuadrada","8","2","10","10","0.6","15000","0.19874361786174788"
"36","4","látice cuadrada","8","2","10","10","0.6","5000","0.04892724842465311"
"37","4","látice cuadrada","8","2","10","10","0.6","0","-0.001849206349205948"
"35","4","látice cuadrada","8","2","10","10","0.6","10000","0.10156475200252611"
"33","4","látice cuadrada","8","2","10","10","0.6","20000","0.1765079365079606"
"38","4","látice cuadrada","8","2","10","10","0.6","0","-9.002487550345412E-4"
"32","4","látice cuadrada","8","2","10","10","0.6","20000","0.18371053336065232"
"34","4","látice cuadrada","8","2","10","10","0.6","20000","0.2481488737776692"
"39","4","látice cuadrada","8","2","10","10","0.6","0","1.368754232088376E-4"
"37","4","látice cuadrada","8","2","10","10","0.6","5000","0.04594444444443574"
"36","4","látice cuadrada","8","2","10","10","0.6","10000","0.1133422790607035"
"40","4","látice cuadrada","8","2","10","10","0.6","0","-5.015085556533128E-4"
"35","4","látice cuadrada","8","2","10","10","0.6","15000","0.16416918596163788"
"38","4","látice cuadrada","8","2","10","10","0.6","5000","0.02973273517827474"
"39","4","látice cuadrada","8","2","10","10","0.6","5000","0.06379402547909714"
"37","4","látice cuadrada","8","2","10","10","0.6","10000","0.11027777777780046"
"40","4","látice cuadrada","8","2","10","10","0.6","5000","0.05768184369891849"
"36","4","látice cuadrada","8","2","10","10","0.6","15000","0.16543576999088347"
"38","4","látice cuadrada","8","2","10","10","0.6","10000","0.06518612178679586"
"35","4","látice cuadrada","8","2","10","10","0.6","20000","0.27580091356755104"
"41","4","látice cuadrada","8","2","10","10","0.8","0","0.0012063492063491277"
"39","4","látice cuadrada","8","2","10","10","0.6","10000","0.141564839456419"
"37","4","látice cuadrada","8","2","10","10","0.6","15000","0.17676190476192943"
"40","4","látice cuadrada","8","2","10","10","0.6","10000","0.11955038568832232"
"36","4","látice cuadrada","8","2","10","10","0.6","20000","0.24246436941808108"
"42","4","látice cuadrada","8","2","10","10","0.8","0","9.211301504411101E-4"
"38","4","látice cuadrada","8","2","10","10","0.6","15000","0.13782735416401715"
"41","4","látice cuadrada","8","2","10","10","0.8","5000","0.046126984126974246"
"37","4","látice cuadrada","8","2","10","10","0.6","20000","0.2413888888888996"
"40","4","látice cuadrada","8","2","10","10","0.6","15000","0.18417900163194323"
"39","4","látice cuadrada","8","2","10","10","0.6","15000","0.1879759381446755"
"43","4","látice cuadrada","8","2","10","10","0.8","0","-9.428875156346356E-4"
"38","4","látice cuadrada","8","2","10","10","0.6","20000","0.1841309527778454"
