"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_libre_de_escala"
"04/06/2026 18:39:56:169 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"3","4","libre de escala","8","2","6","6","0","0","7.102854656707014E-4"
"1","4","libre de escala","8","2","6","6","0","0","0.004017480886161717"
"4","4","libre de escala","8","2","6","6","0","0","-4.410815237077814E-4"
"5","4","libre de escala","8","2","6","6","0","0","-7.707167979919827E-4"
"2","4","libre de escala","8","2","6","6","0","0","-0.0013004506536375138"
"6","4","libre de escala","8","2","6","6","0","0","0.0038488991143234286"
"3","4","libre de escala","8","2","6","6","0","5000","0.021384339343066466"
"4","4","libre de escala","8","2","6","6","0","5000","0.026561159840226528"
"6","4","libre de escala","8","2","6","6","0","5000","0.01889201366284271"
"2","4","libre de escala","8","2","6","6","0","5000","0.02047760671997445"
"1","4","libre de escala","8","2","6","6","0","5000","0.015648868784243625"
"5","4","libre de escala","8","2","6","6","0","5000","0.016355726864593745"
"3","4","libre de escala","8","2","6","6","0","10000","0.02612077256565129"
"6","4","libre de escala","8","2","6","6","0","10000","0.026451676323315854"
"4","4","libre de escala","8","2","6","6","0","10000","0.04820412683916264"
"2","4","libre de escala","8","2","6","6","0","10000","0.03477595852366211"
"1","4","libre de escala","8","2","6","6","0","10000","0.03034721908676255"
"5","4","libre de escala","8","2","6","6","0","10000","0.03804857212743615"
"3","4","libre de escala","8","2","6","6","0","15000","0.031105469341714154"
"4","4","libre de escala","8","2","6","6","0","15000","0.06082762494162089"
"6","4","libre de escala","8","2","6","6","0","15000","0.025793860008174074"
"2","4","libre de escala","8","2","6","6","0","15000","0.04858217755241398"
"1","4","libre de escala","8","2","6","6","0","15000","0.03767317214497426"
"5","4","libre de escala","8","2","6","6","0","15000","0.05272964435388408"
"3","4","libre de escala","8","2","6","6","0","20000","0.03680521352708099"
"6","4","libre de escala","8","2","6","6","0","20000","0.026249461724810852"
"7","4","libre de escala","8","2","6","6","0","0","-7.539682539695336E-4"
"4","4","libre de escala","8","2","6","6","0","20000","0.07454881396680679"
"8","4","libre de escala","8","2","6","6","0","0","2.8712872185049365E-4"
"9","4","libre de escala","8","2","6","6","0","0","-9.404082814881698E-4"
"2","4","libre de escala","8","2","6","6","0","20000","0.065192007242374"
"5","4","libre de escala","8","2","6","6","0","20000","0.05737023401251207"
"1","4","libre de escala","8","2","6","6","0","20000","0.04936064580701072"
"11","4","libre de escala","8","2","6","6","0.2","0","-0.0010198993223429487"
"10","4","libre de escala","8","2","6","6","0","0","3.52572795001449E-4"
"12","4","libre de escala","8","2","6","6","0.2","0","-4.5673270493079565E-4"
"7","4","libre de escala","8","2","6","6","0","5000","0.02292328042329142"
"8","4","libre de escala","8","2","6","6","0","5000","0.030119910423376056"
"9","4","libre de escala","8","2","6","6","0","5000","0.03533815695548795"
"11","4","libre de escala","8","2","6","6","0.2","5000","0.048634552698310796"
"10","4","libre de escala","8","2","6","6","0","5000","0.025405309431104195"
"12","4","libre de escala","8","2","6","6","0.2","5000","0.06725523351475199"
"7","4","libre de escala","8","2","6","6","0","10000","0.029642857142863605"
"11","4","libre de escala","8","2","6","6","0.2","10000","0.07519618495714311"
"9","4","libre de escala","8","2","6","6","0","10000","0.03087258762203829"
"8","4","libre de escala","8","2","6","6","0","10000","0.03654566275555371"
"10","4","libre de escala","8","2","6","6","0","10000","0.03658616411987531"
"12","4","libre de escala","8","2","6","6","0.2","10000","0.12501314368930388"
"11","4","libre de escala","8","2","6","6","0.2","15000","0.12546058191475512"
"7","4","libre de escala","8","2","6","6","0","15000","0.025806878306886383"
"9","4","libre de escala","8","2","6","6","0","15000","0.03395262032374238"
"8","4","libre de escala","8","2","6","6","0","15000","0.045577989243661604"
"10","4","libre de escala","8","2","6","6","0","15000","0.05578737906554582"
"12","4","libre de escala","8","2","6","6","0.2","15000","0.1250317338211201"
"11","4","libre de escala","8","2","6","6","0.2","20000","0.20423985218545732"
"13","4","libre de escala","8","2","6","6","0.2","0","-3.042071961091297E-4"
"7","4","libre de escala","8","2","6","6","0","20000","0.04082010582011372"
"8","4","libre de escala","8","2","6","6","0","20000","0.057898136122408544"
"14","4","libre de escala","8","2","6","6","0.2","0","-9.271854378352373E-4"
"9","4","libre de escala","8","2","6","6","0","20000","0.03591393641007343"
"15","4","libre de escala","8","2","6","6","0.2","0","-0.0014293913334922914"
"10","4","libre de escala","8","2","6","6","0","20000","0.06201486754390553"
"16","4","libre de escala","8","2","6","6","0.2","0","-0.002618441614925915"
"17","4","libre de escala","8","2","6","6","0.2","0","-0.0020815866732346033"
"12","4","libre de escala","8","2","6","6","0.2","20000","0.03314923685807192"
"18","4","libre de escala","8","2","6","6","0.2","0","0.0030697443291249626"
"13","4","libre de escala","8","2","6","6","0.2","5000","0.0687826689938473"
"14","4","libre de escala","8","2","6","6","0.2","5000","0.04252149624927004"
"16","4","libre de escala","8","2","6","6","0.2","5000","0.08671485385697292"
"15","4","libre de escala","8","2","6","6","0.2","5000","0.02018291038906292"
"17","4","libre de escala","8","2","6","6","0.2","5000","0.03890473879726414"
