"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_red_aleatoria"
"04/06/2026 18:35:37:002 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"5","4","aleatoria","8","2","6","6","0","0","6.640931869389133E-4"
"6","4","aleatoria","8","2","6","6","0","0","-9.278231447451546E-5"
"2","4","aleatoria","8","2","6","6","0","0","-0.00182240992611718"
"3","4","aleatoria","8","2","6","6","0","0","-5.146140825228462E-4"
"1","4","aleatoria","8","2","6","6","0","0","8.99365549494352E-4"
"4","4","aleatoria","8","2","6","6","0","0","0.001590056112832472"
"5","4","aleatoria","8","2","6","6","0","5000","0.029348429034092655"
"6","4","aleatoria","8","2","6","6","0","5000","0.023309411747286568"
"2","4","aleatoria","8","2","6","6","0","5000","0.017193762502757476"
"3","4","aleatoria","8","2","6","6","0","5000","0.024446919407151352"
"4","4","aleatoria","8","2","6","6","0","5000","0.025777102394127116"
"5","4","aleatoria","8","2","6","6","0","10000","0.042022876743394055"
"6","4","aleatoria","8","2","6","6","0","10000","0.033593055786105996"
"2","4","aleatoria","8","2","6","6","0","10000","0.025925589801921556"
"1","4","aleatoria","8","2","6","6","0","5000","0.027680131719392403"
"4","4","aleatoria","8","2","6","6","0","10000","0.025545774740312888"
"3","4","aleatoria","8","2","6","6","0","10000","0.03454654096697088"
"5","4","aleatoria","8","2","6","6","0","15000","0.04510201858950355"
"2","4","aleatoria","8","2","6","6","0","15000","0.03451253570511864"
"6","4","aleatoria","8","2","6","6","0","15000","0.03265045549882234"
"1","4","aleatoria","8","2","6","6","0","10000","0.03668187702791387"
"4","4","aleatoria","8","2","6","6","0","15000","0.025876730233228895"
"3","4","aleatoria","8","2","6","6","0","15000","0.038314523863192396"
"5","4","aleatoria","8","2","6","6","0","20000","0.060416092472951655"
"2","4","aleatoria","8","2","6","6","0","20000","0.0387601028129784"
"6","4","aleatoria","8","2","6","6","0","20000","0.041333897510293593"
"8","4","aleatoria","8","2","6","6","0","0","0.004366148817068816"
"7","4","aleatoria","8","2","6","6","0","0","-1.4697527241508412E-5"
"9","4","aleatoria","8","2","6","6","0","0","-0.0016304683584469626"
"1","4","aleatoria","8","2","6","6","0","15000","0.0526914942016459"
"4","4","aleatoria","8","2","6","6","0","20000","0.024451338256995275"
"3","4","aleatoria","8","2","6","6","0","20000","0.044743172845306683"
"10","4","aleatoria","8","2","6","6","0","0","0.004598332241333963"
"11","4","aleatoria","8","2","6","6","0.2","0","4.969801871110291E-5"
"8","4","aleatoria","8","2","6","6","0","5000","0.016782017867563365"
"7","4","aleatoria","8","2","6","6","0","5000","0.021303654205051287"
"9","4","aleatoria","8","2","6","6","0","5000","0.014302139638088462"
"1","4","aleatoria","8","2","6","6","0","20000","0.07051386159846976"
"10","4","aleatoria","8","2","6","6","0","5000","0.018750871157929616"
"11","4","aleatoria","8","2","6","6","0.2","5000","0.06597212940150912"
"12","4","aleatoria","8","2","6","6","0.2","0","-4.264634504256015E-4"
"8","4","aleatoria","8","2","6","6","0","10000","0.02356841539716406"
"7","4","aleatoria","8","2","6","6","0","10000","0.026451668886588925"
"9","4","aleatoria","8","2","6","6","0","10000","0.0284892908915087"
"10","4","aleatoria","8","2","6","6","0","10000","0.026117726060227164"
"11","4","aleatoria","8","2","6","6","0.2","10000","0.11508043188657918"
"12","4","aleatoria","8","2","6","6","0.2","5000","0.031817442131727686"
"8","4","aleatoria","8","2","6","6","0","15000","0.03013657729328792"
"7","4","aleatoria","8","2","6","6","0","15000","0.02837363512883695"
"9","4","aleatoria","8","2","6","6","0","15000","0.038390646201561074"
"10","4","aleatoria","8","2","6","6","0","15000","0.03593566955003069"
"11","4","aleatoria","8","2","6","6","0.2","15000","0.15931943923705943"
"12","4","aleatoria","8","2","6","6","0.2","10000","0.02555488456444488"
"8","4","aleatoria","8","2","6","6","0","20000","0.0351677379991345"
"13","4","aleatoria","8","2","6","6","0.2","0","0.0014823023582390404"
"7","4","aleatoria","8","2","6","6","0","20000","0.031544773606359766"
"9","4","aleatoria","8","2","6","6","0","20000","0.044969650591541066"
"10","4","aleatoria","8","2","6","6","0","20000","0.0531850625488583"
"14","4","aleatoria","8","2","6","6","0.2","0","0.002108560670532944"
"11","4","aleatoria","8","2","6","6","0.2","20000","0.27064203532918685"
"15","4","aleatoria","8","2","6","6","0.2","0","2.627058154847095E-5"
"16","4","aleatoria","8","2","6","6","0.2","0","0.001984126984128476"
"17","4","aleatoria","8","2","6","6","0.2","0","-0.0015131043677738265"
